web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234117-64;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;FDP will Heizkosten-Zuschüsse für Ärmere begrenzen;23.10.2022;;https://www.sueddeutsche.de/politik/fdp-heizkosten-energiesparen-ampelkoalition-1.5680029;
1685234117-65;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Landkreis investiert 250 Millionen Euro in weiterführende Schulen;23.10.2022;;https://www.sueddeutsche.de/muenchen/dachau/dachau-kreistag-schulausschuss-investionen-schulen-1.5679931;
1685234117-66;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Schweinfurt will Landesgartenschau doch nicht ausrichten;19.10.2022;;https://www.sueddeutsche.de/bayern/landesgartenschau-bayern-schweinfurt-remele-energiepreise-1.5678024;
1685234117-67;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Das Bürgergeld ist richtig - trotz aller Kritik;17.10.2022;;https://www.sueddeutsche.de/wirtschaft/buergergeld-vermoegen-fairer-sozialstaat-sanktionen-1.5676689;
1685234117-68;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten am 17. Oktober 2022;17.10.2022;;https://www.sueddeutsche.de/politik/news-nachrichten-ukraine-bildung-bundesrechnungshof-buergergeld-schweden-1.5676795;
1685234117-69;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Befreite Gebiete in der Ukraine: Warum nicht alle feiern;17.10.2022;;https://www.sueddeutsche.de/politik/podcast-nachrichten-ukraine-krieg-russland-ostukraine-kupjansk-1.5676774;
1685234117-70;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Rechnungshof rügt Bürgergeld-Pläne;17.10.2022;;https://www.sueddeutsche.de/wirtschaft/rechnungshof-buergergeld-1.5676629;
1685234117-71;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Was das Bürgergeld von Hartz IV unterscheidet;13.10.2022;;https://www.sueddeutsche.de/politik/buergergeld-hartz-iv-bundestag-heil-1.5674072;
1685234117-72;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Söder wettert gegen "illiberales Spießertum";12.10.2022;;https://www.sueddeutsche.de/muenchen/muenchen-markus-soeder-csu-bezirksparteitag-1.5673725;
1685234117-73;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Eine Stadt und ihre Angst vor Giorgia Meloni;10.10.2022;;https://www.sueddeutsche.de/politik/italien-neapel-armut-meloni-1.5671471;
