web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685200361-60;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Besser als der Ruf;08.02.2013;;https://www.sueddeutsche.de/muenchen/freising/wie-kommt-die-ware-zum-kunden-besser-als-der-ruf-1.1594658;
1685200361-61;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Wohlstandsfalle Kind;07.02.2013;;https://www.sueddeutsche.de/politik/familienpolitik-in-deutschland-wohlstandsfalle-kind-1.1592389;
1685200361-62;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Unternehmen tun zu wenig gegen Fachkräftemangel;04.02.2013;;https://www.sueddeutsche.de/wirtschaft/oecd-studie-zur-zuwanderung-auslaendischer-arbeitnehmer-unternehmen-tun-zu-wenig-gegen-fachkraeftemangel-1.1590780;
1685200361-63;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Putzen, räumen, Zeitung austragen;04.02.2013;;https://www.sueddeutsche.de/muenchen/senioren-mit-minijobs-putzen-raeumen-zeitung-austragen-1.1590832;
1685200361-64;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Damit alle ins Ziel kommen;03.02.2013;;https://www.sueddeutsche.de/bayern/bildungschancen-in-bayern-damit-alle-ins-ziel-kommen-1.1589931;
1685200361-65;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Dortmunder Einerlei;01.02.2013;;https://www.sueddeutsche.de/medien/schrumpfende-pressevielfalt-im-revier-dortmunder-einerlei-1.1589650;
1685200361-66;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Mehr als drei Millionen Arbeitslose in Deutschland;31.01.2013;;https://www.sueddeutsche.de/wirtschaft/deutlicher-anstieg-im-januar-mehr-als-drei-millionen-arbeitslose-in-deutschland-1.1587832;
1685200361-67;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Bundesagentur erwartet 2013 einen Durchschnitt von weniger als drei Millionen;31.01.2013;;https://www.sueddeutsche.de/wirtschaft/arbeitslosenzahlen-bundesagentur-erwartet-2013-einen-durchschnitt-von-weniger-als-drei-millionen-1.1587750;
1685200361-68;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Deutsche gehen trotz Einbußen früher in Rente;31.01.2013;;https://www.sueddeutsche.de/wirtschaft/altersvorsorge-deutsche-gehen-trotz-einbussen-frueher-in-rente-1.1587648;
1685200361-69;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Kommt ins gelobte Deutschland;29.01.2013;;https://www.sueddeutsche.de/karriere/jugendarbeitslosigkeit-in-europa-kommt-ins-gelobte-deutschland-1.1585674;
