web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685371149-96;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Die letzte Bastion;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-97;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Warum nicht die Ehe zu dritt?;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-98;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Alles eine Frage der Ehe;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-99;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Bundestag beschließt "Ehe für alle";30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-100;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Theologische Gütertrennung;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-101;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Das Nein der Kanzlerin;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-102;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Stück für Stück angeglichen;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-103;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Zu Eltz: Wir driften auseinander;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-104;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wer wie mit wem?;29.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-105;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Alles eine Frage der Ehe;29.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-106;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;"Wir haben so lange darauf gewartet";29.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-107;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Ehe für keinen;28.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-108;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Bundestag will am Freitag über "Ehe für alle" abstimmen;28.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
